Tên Phim,Tên Khác,Nội Dung,Thể Loại,Rating,Số lượng đánh giá,Năm Phát Hành,Image
Seisen Cerberus: Ryuukoku no Fatalite,,"Lục địa Kuanaan bị thống trị bởi gươm giáo và ma thuật. 3 vương quốc với tiềm lực mạnh mẽ tồn tại tại nơi này. Vương quốc thần thánh Amoria, vương quốc Ishilfen và vương quốc Vanrodis. Thế chân vạc đang diễn ra, bất kỳ sự bất ổn ở vương quốc nào cũng sẽ dẫn đến chiến sự trên khắp toàn cõi lục địa. Tại nơi này, tồn tại một ác long mà mỗi lần nó xuất hiện là mặt đất bùng cháy, hỗn loạn ngập tràn – Daganzord. 10 năm trước, một nhóm pháp sư dẫn đầu bởi cha mẹ của Hiiro là Bairo và Kismitete đã thực hiện nghi thức ma thuật hòng phong ấn Daganzord, tuy nhiên xuất hiện một kẻ cản trở làm cho phong ấn bị thất bại. Về sau, đó được gọi là “Thảm kịch Balbagoa”. Hiiro lúc bấy giờ vẫn còn nhỏ, được Giruu cứu thoát và nuôi lớn, cậu ngày đêm luyện kiếm nhằm trả thù cho cha mẹ. 10 năm sau, Hiiro tròn 16, cậu tự mình rời khỏi nhà để lên đường diệt trừ ác long. Trước tình thế này, Giruu không còn cách nào khác là phải đi theo Hiiro. Trên đường truy tìm ác long Daganzord, Hiiro đã gặp gỡ rất nhiều chủng tộc, không biết từ lúc nào, họ trở thành bạn bè và hướng tới mục tiêu diệt trừ Daganzord… Liệu Hiiro có vượt qua được vận mệnh mà cậu đã tự gánh lấy và tiêu diệt được Daganzord hay không…!?","Anime,Giả tưởng,Phiêu lưu",7.6,171,2016,https://animehay.life/upload/poster/447.jpg
D.Gray-man,,"Dựa trên bộ manga của Hoshino Katsura.Akuma là quái vật được sinh ra từ tình yêu mù quáng của những người thân, là vũ khí của Bá tước ngàn năm với ý đồ hủy diệt thế giới. Allen Walker với vũ khí diệt Akuma và con mắt có thể nhìn thấy linh hồn Akuma đã tham gia một tổ chức có tên là Giáo Đoàn Đen- nơi tập hợp những người đang nỗ lực chống lại Bá tước ngàn năm...","Anime,Hành động,Hài hước,Siêu nhiên,Shounen",8.8,138,2006,https://animehay.life/upload/poster/688.jpg
No.6,,"Bối cảnh chuyện đặt trong những năm 2013. Được nuôi dạy như người thuộc tầng lớp ưu tú nhất từ năm 2 tuổi, 1 cậu bé tên Shion sống trong 1 khu vực đặc biệt được gọi là No.6. Trong đêm sinh nhật thứ 12 của mình, cậu cứu được 1 cậu bé tự xưng là “Nezumi”(Chuột). Nezumi đang tìm cách trốn thoát khỏi Khu Vực An Ninh Đặc Biệt (Special Security Area) của thành phố. Kể từ giây phút đó, cuộc đời của Shion đã thay đổi mãi mãi…","Hành động,Viễn tưởng,Anime",8.1,36,2011,https://animehay.life/upload/poster/691.jpg
Nerawareta Gakuen,Học viện siêu linh,"Mùa xuân báo hiệu cho 1 năm học mới ở 1 trường trung học vùng Kamakura. Ryoichi Kyogoku (Daisuke Ono) là 1 học sinh lớp 8 mới chuyển đến. Kyogoku có tài năng đặc biệt về thần giao cách cảm và đã được người cha ra lệnh dùng khả năng này để đọc suy nghĩ người khác và chiếm quyền kiểm soát ngôi trường.Cậu ta ngay lập tức trở nên nổi tiếng trong trường nhờ vẻ đẹp ngoại hình và bắt đầu giành quyền kiểm soát trong trường. Trong khi mợi người bị Kyogoku bỏ bùa, cậu ta cũng bí mật lợi dụng những thuộc hạ của mình để loại bỏ tất cả những ai có ý định cản đường.Khi ngồi trường gần như đã nằm trong tay Kyogoku, dường như chỉ còn 1 người không bị ảnh hưởng – Seki. Liệu Seki có thể cứu vớt mọi người khỏi bị điều khiển bởi Kyogoku không?","Anime,Tình cảm,Viễn tưởng,Học đường",8.3,82,2012,https://animehay.life/upload/poster/692.jpg
Senjou no Valkyria,,"Valkyria Chronicles, cũng như phiên bản game, lấy bối cảnh năm 1935 ở Europa (thực chất là phiên bản tưởng tượng của châu Âu thời đó). Đất nước Gallia, một vùng đất trung lập, do sở hữu lượng mỏ ragnite dồi dào, bị liên minh đế quốc Đông Âu đưa quân sang đánh chiếm. Trước hành động đó, Liên bang Đại Tây Dương vốn có ý định chiếm Gallia từ lâu, và bản thân lúc đó đang trong tình trạng chiến tranh với liên minh đế quốc Đông Âu, cũng quyết định tiến công đất nước nhỏ bé này.  Khi liên quân đế quốc tấn công thị trấn gần biên giới Bruhl của Gallia, Welkin Gunther, con trai của tướng quân Belgen Gunther quá cố, buộc phải đứng lên chiến đấu cùng đội trưởng đội phòng vệ của thị trấn, Alicia Melchiott. Cùng với em gái nuôi của Welkin là Isara Gunther, cả ba chạy trốn về thủ đô của Gallia và gia nhập quân đội. Là thành viên của đơn vị mới thành lập - Đội 7 - họ gánh trên vai trách nhiệm phải chiến đấu đến cùng cũng như khám phá ra mục đích thực sự của cuộc xâm lược.","Anime,Hành động,Tình cảm",8.9,29,2009,https://animehay.life/upload/poster/690.jpg
Hotaru no Haka,Mộ đom đóm,"Được đặt trong bối cảnh giai đoạn cuối của Chiến tranh thế giới 2 ở Nhật Bản, bộ phim kể lại câu chuyện chua xót nhưng cảm động về tình anh em của hai đứa trẻ mồ côi Seita (清太) và em gái của cậu Setsuko (節子). Hai anh em mất mẹ sau cuộc thả bom dữ dội của không quân Mỹ vào thành phố Kobe trong khi cha của hai đứa đang chiến đấu cho Hải quân hoàng gia Nhật. Vì vậy Seita và Setsuko phải vật lộn để tồn tại giữa một bên là nạn đói và một bên là sự thờ ơ đến nhẫn tâm của những người xung quanh (trong đó có cả những người họ hàng của hai đứa trẻ). Cuối cùng Setsuko chết vì thiếu ăn, những hình vẽ miêu tả sự đau đớn và cái chết của cô bé có thể coi là những cảnh phim bi thương nhất trong lịch sử hoạt hình Nhật Bản.","Anime,Lịch sử,Drama",9.8,131,1988,https://animehay.life/upload/poster/693.jpg
Ao Haru Ride,"Con Đường Mùa Xuân, Blue spring","Yoshioka Futaba có một vài lý do mà cô bạn muốn ""thiết lập lại"" hình ảnh và cuộc sống của mình khi vào cấp 3. Bởi vì trông cô rất dễ thương nên đã bị các bạn nữ ở trường cấp 2 tẩy chay, và bởi vì một lý do không thể hiểu được, cô bạn đã không thể diễn tả được cảm xúc của mình với người mà mình thích, Tanaka-kun.  Bây giờ ở trường cấp 3, cô bạn quyết định trở nên mất nữ tính càng nhiều càng tốt để bạn bè không phải ghen tị với cô. Khi sống theo 1 cách thật thỏa mãn, cô đã gặp lại Tanaka-kun, nhưng bây giờ cậu đã đổi tên thành Mabuchi Koi. Cậu ấy cũng nói ra cảm giác của mình đối với cô bạn khi còn học cấp 2, nhưng bây giờ mọi thứ không thể lặp lại lần nữa. Liệu Futaba có thể tiếp tục tình yêu của mình mà cô bạn đã chưa bao giờ có thể bắt đầu từ 3 năm trước?","Anime,Tình cảm,Hài hước,Học đường,Đời thường,Drama,Shoujo",9.4,296,2014,https://animehay.life/upload/poster/694.jpg
Kurokami The Animation,,"Ibuki Keita là một lập trình viên tự do đang có nhiều khó khăn đã tình cờ gặp được một Mototsumitama tên Kuro. Cậu đã đưa Kuro bữa ăn tối của mình và cố bảo vệ cô khi cô bị tấn công trong 1 bụi rậm bởi một Mototsumitama bí ẩn. Keita bị mất cánh tay trái trong cuộc chiến nhưng Kuro đã cứu mạng Keita bằng cách đưa cánh tay mình cho cậu vì Kuro có khả năng tự chữa lành vết thương. Điều này đã tạo nên một khế ước giữa hai người và tăng thêm sức mạnh cho Kuro, tuy nhiên cả hai phải luôn ở cạnh nhau để đạt được sức mạnh tối đa.","Anime,Hành động,Võ thuật,Siêu năng lực",6.9,43,2009,https://animehay.life/upload/poster/689.jpg
Barakamon,,Chuyện kể về một anh chàng viết thư pháp do còn non trẻ và hành động thiếu suy nghĩ nên bị đầy ra đảo. Tại đây anh đã gặp một cô nhóc siêu quậy và gây cho anh không ít phiền toái nhưng cũng giúp anh nhận ra những điều mình còn thiếu sót trong cuộc sống và nghề nghiệp.,"Anime,Hài hước,Đời thường",9.5,145,2014,https://animehay.life/upload/poster/695.jpg
Dears,,"Cách đây 1 năm, một con tàu vũ trụ đã rơi ở Vịnh Tokyo. Bởi vì những người ngòai hành tinh không thể trở về nhà, họ đã được chấp nhận trở thành những công dân Nhật Bản. Và họ được gọi là DearS, nghĩa là “Dear Friends”. Để học ngôn ngữ và tập quán Nhật Bản họ vào học ở các trường trung học bình thường như con người. Một ngày nọ, cậu học sinh trung học Ikuhara Takeya bắt gặp 1 cô gái DearS không mặc gì, vì thế Takeya cho đó là một cô gái hư hỏng và yêu cầu cô tránh xa cậu ta ra. Tuy nhiên sau khi cứu Ren-cô gái DearS-thì Takeya đã cho cô tá túc ở nhà mình. Sau đó, Ren đến trường Takeya đang học, ở đó cô bị nhầm với 1 DearS khác là học sinh chuyển trường. Tuy nhiên, vấn đề thực sự xảy ra khi sinh viên mới chuyển đến, Miu, xuất hiện.","Anime,Tình cảm,Hài hước,Viễn tưởng,Harem,Ecchi",7.9,139,2004,https://animehay.life/upload/poster/696.jpg
Seikon no Qwaser II,,"Tiếp nối phần 1 . Oribe Mafuyu và Yamanobe Tomo là đôi bạn thân thiết từ thuở nhỏ. Sau khi cha của Tomo đột nhiên biến mất mà không rõ lý do, cả 2 theo học tại một ngôi trường có tên là học viện thánh Mihailov - Một trường học truyền thống Nhật Bản. Nơi này chứa đựng rất nhiều tài liệu liên quan đến tôn giáo. Cả 2 đã gặp rất nhiều khó khăn với các học sinh cùng lớp cho đến khi gặp gỡ được một cậu bé bí ẩn có mái tóc bạc, tên là Alexander Sasha. Cậu ta tự xưng là một Martyr, có khả năng điều khiển nguyên tố sắt và chiến đấu cho một tổ chức có tên là Athov trong cuộc chiến chống lại bàn tay của Adept - một giáo phái cá nhân nắm giữ sức mạnh liên quan đến các nguyên tố hóa học - khỏi ấn tích kỳ bí Theokotos Tsarytsin, một vật có năng lực thay đổi cả thế giới. Liệu Mafuyu và Tomo sẽ ra sao khi có một kẻ luôn chăm chăm rình mút ngực phụ nữ ở chung nhà với mình, các bợn cứ theo dõi sẽ rõ.","Anime,Hành động,Siêu nhiên,Ecchi,Shounen,Siêu năng lực",8.3,124,2011,https://animehay.life/upload/poster/698.jpg
Seikon no Qwaser: Jotei no Shouzou,,Dựa theo chap 16 manga và là ep 10.5 của phần 1.,"Anime,Hành động,Siêu nhiên,Ecchi,Shounen,Siêu năng lực",9.3,38,2010,https://animehay.life/upload/poster/699.jpg
Seikon No Qwaser,,"Oribe Mafuyu và Yamanobe Tomo là đôi bạn thân thiết từ thuở nhỏ. Sau khi cha của Tomo đột nhiên biến mất mà không rõ lý do, cả 2 theo học tại một ngôi trường có tên là học viện thánh Mihailov - Một trường học truyền thống Nhật Bản. Nơi này chứa đựng rất nhiều tài liệu liên quan đến tôn giáo. Cả 2 đã gặp rất nhiều khó khăn với các học sinh cùng lớp cho đến khi gặp gỡ được một cậu bé bí ẩn có mái tóc bạc, tên là Alexander Sasha. Cậu ta tự xưng là một Martyr, có khả năng điều khiển nguyên tố sắt và chiến đấu cho một tổ chức có tên là Athov trong cuộc chiến chống lại bàn tay của Adept - một giáo phái cá nhân nắm giữ sức mạnh liên quan đến các nguyên tố hóa học - khỏi ấn tích kỳ bí Theokotos Tsarytsin, một vật có năng lực thay đổi cả thế giới. Liệu Mafuyu và Tomo sẽ ra sao khi có một kẻ luôn chăm chăm rình mút ngực phụ nữ ở chung nhà với mình, các bợn cứ theo dõi sẽ rõ.","Anime,Hành động,Siêu nhiên,Ecchi,Shounen,Siêu năng lực",8.6,262,2010,https://animehay.life/upload/poster/697.jpg
Thần Lorax,,"Bộ phim (The Lorax) full HD thuyết minh chuyển thể từ câu chuyện nổi tiếng của Dr Seuss vẫn lưu giữ tư tưởng bảo vệ môi trường và cảnh báo về chủ nghĩa tiêu dùng đang dần dần biến con người thành kẻ hủy diệt hệ sinh thái. Khai thác cốt truyện gốc của Dr Seuss, bộ phim kể lại câu chuyện của nhân vật Once-ler thời trai trẻ. Để chứng minh cho gia đình rằng mình là người có chí lớn, Once-ler quyết trở thành một nhà kinh doanh giàu có và thành đạt.  Once-ler đã phá tan hoang cả khu rừng để lấy nguyên liệu sản xuất khăn choàng, bất chấp sự can ngăn của thần Lorax, nhân vật đại diện cho tiếng nói của các loài cây. Khi công việc làm ăn thất bại, gia đình và bạn bè rời bỏ Once-ler. Ông tự giam mình trong căn nhà cũ trên mảnh đất cằn cỗi và thiếu sự sống trong suốt quãng đời còn lại.  Để nhuận sắc cho bộ phim, các nhà biên kịch Paul và Daurio đã sáng tạo thêm câu chuyện về cậu bé Ted sống tại một thành phố không có cây xanh ngay cạnh mảnh đất Once-ler sinh sống. Với mong muốn mang về một cây xanh thực sự cho cô bạn gái mình thầm yêu quý, Ted đã đến gặp Once-ler và hành trình tìm kiếm cây xanh của cậu bắt đầu.  Về mặt hình ảnh, The Lorax đã tạo ra được những nhân vật hoạt hình ngộ nghĩnh, đặc biệt là những sinh vật sống tại khu rừng trồng toàn cây Truffula. Những chú gấu con xinh xắn đu mình trên cây hay những đàn cá nhảy lên bờ hát líu lo đều được tạo hình công phu và trau chuốt làm toát lên tính cách từng nhân vật.  Rừng cây Truffula qua trí tưởng tượng của những nhà làm phim có hình dáng giống như những cây kẹo bông đầy màu sắc chứ không chỉ thuần khiết một màu xanh. Không gian cổ tích này chính là điểm nhấn gợi lên sự hứng thú cho các khán giả thiếu nhi. Công nghệ phim 3D càng làm tăng thêm vẻ lung linh cho thế giới như cổ tích của The Lorax.",,nan,5,2012,https://animehay.life/upload/poster/700.jpg
Chú Mèo Ở Paris,,"Bộ phim kể về cuộc sống hai mặt của một chú mèo tại Paris, khi ban ngày chú ở cùng một cô bé và người mẹ cảnh sát của cô – còn ban đêm là thời gian chú đi cùng một tên trộm",,nan,2,2010,https://animehay.life/upload/poster/702.jpg
Servant X Service,,"Câu chuyện về những nhân viên ban Sức khỏe và Nhân sinh của văn phòng phường thuộc một thành phố nào đó. Những nhân viên mới gồm Hasebe Yutaka, Yamagami, Miyoshi Saya và cấp trên của họ Ichimiya Taishi cùng trải qua những ngày làm việc bựa tại văn phòng của họ.","Anime,Hài hước,Đời thường",9.3,129,2013,https://animehay.life/upload/poster/703.jpg
Attack on Titan (Live-Action),Shingeki no Kyojin | Tấn Công Người Khổng Lồ,"Phim miêu tả cuộc chiến giữa loài người và những sinh vật khổng lồ đang thống trị thế giới bên ngoài nơi con người sinh sống, được bao quanh bởi những bức tường thành cao lớn.  Titan - 1 loài vật giống người, cực kì to lớn, nhưng óc như óc lợn, thích ăn thịt người như là thú vui. Còn con người thì hoàn toàn lép vế và phải cố thủ trong ba bức tường kiên cố, nhờ vậy mà họ đã có được 100 năm yên bình.  Nhưng 100 năm sau, bọn Titan cuối cùng cũng vào được và cướp đi sinh mạng người mẹ thân yêu của Eren, một cậu bé ""bình thường"" như bao người khác. Thế là trong lòng cậu nảy sinh thủ hận và cậu đã quyết định gia nhập Đội Trinh Sát để trả thù cho mẹ mình. Câu chuyện về 3 người bạn thân Eren, Mikasa và Armin sẽ như thế nào, liệu họ và những cư dân còn sót lại sẽ tìm ra bí mật nào đó để đánh bại lũ Titan khổng lồ ?  Bộ phim có thêm 7 nhân vật mới so với cốt truyện. Trong đó, nhân vật Shikimaru do Hasegawa thủ vai với mệnh danh “chiến binh mạnh nhất nhân loại” nắm giữ vai trò quan trọng trong phim.  Phim bao gồm 2 phần Live-action được chuyển thể từ manga và anime cùng tên. Phần đầu phát hành ngày 1/8/2015 mang tên gốc Shingeki no Kyojin/Attack on Titan, và phần 2 phát hành vào 19/9/2015 mang tên Shingeki no Kyojin/Attack on Titan End of the World.","Anime,Live Action",5.3,149,2015,https://animehay.life/upload/poster/974.jpg
Shingeki no Kyojin Movie 1: Guren no Yumiya,Attack on Titan: Crimson Bow and Arrow,Movie Recap từ tập 1-13.,"Anime,Hành động,Giả tưởng,Shounen,Drama,Siêu năng lực",9.3,180,2014,https://animehay.life/upload/poster/975.jpg
Shingeki! Kyojin Chuugakkou,Attack on Titan: Junior High | Attack! Titan Junior High,Những Câu chuyện hài hước trong một trường trung học cơ sở và trung vào nhân vật chính như Eren và Mikasa khi họ chiến đấu với Titans.,"Shounen,Học đường,Hài hước,Anime",8.7,140,2015,https://animehay.life/upload/poster/976.jpg
Gochuumon wa Usagi Desu ka,Is the Order a Rabbit? | GochiUsa [BD],Cà phê thỏ con.,"Anime,Hài hước,Đời thường",9.2,172,2014,https://animehay.life/upload/poster/658.jpg
Jewelpet Sunshine,,"Là SS3 của loạt phim Jewelpet. Câu chuyện xoay quanh học viện Sunshine, nơi những jewelpet và con người cùng nhau học tập. Ruby và các bạn đã học đến năm thứ 3 những những ước mơ về tương lai sau khi tốt nghiệp vẫn là số 0 . Liệu Ruby và các bạn học có tìm thấy ước mơ trong tương lai của mình trước khi họ tốt nghiệp không?","Anime,Shoujo",nan,9,2011,https://animehay.life/upload/poster/660.jpg
Yu-Gi-Oh ! First Series,Vua trò chơi phần 1 | Yu Gi Mutou | Yugi Oh ! First Series,"Yu-Gi-Oh! là câu chuyện kể về Yugi Muto, một học sinh trường Domino. Tính tình nhút nhát, hiền lành. Cậu là cháu nội của Surodoku Muto. Trước đây, ông cậu vốn là một kiện tướng chơi trò chơi cực kì xuất sắc. Từ nhỏ, ông cậu đã dạy cậu chơi các trò chơi, và ông còn cho cậu một bộ xếp hình. Trong khoảng gần bảy năm, cậu đã tìm tòi và đã lắp ráp được thành Trò chơi ngàn năm(Millennium Puzzle). Nhưng cậu đã không thể hoàn thành được vì mảnh chính của trò chơi bị Joey Wheeler (Katsuya Jonouchi) ném xuống nước vì muốn chơi xỏ Yugi. Nhưng sau đó, cảm kích vì Yugi đã dùng thân mình bảo vệ cậu trong một lần bị một thằng du côn đánh, họ trở thành bạn của nhau. Joey lặn xuống nước và lấy lại mảnh chính đưa cho ông nội Yugi. Cuối cùng, Trò chơi ngàn năm đã hoàn thành. Nhưng kể từ sau khi hoàn thành Trò chơi ngàn năm, Yugi đã xuất hiện một nhân cách khác mặc dù cậu không nhận ra, đó là Yami Yugi. Cho đến khi Dark Bakura, chủ sở hữu Vòng tròn trí tuệ ngàn năm (Millennium Ring) tìm cách hại Yugi và bạn của cậu trong một trò chơi chết người, thì cũng là lúc Yugi phát hiện ra Yami Yugi. Lúc đầu cậu rất hoảng sợ khi Yami Yugi chính là nhân cách thứ hai của mình. Nhưng sau đó họ trở thành bạn của nhau. Và rồi từ đây con đường chinh phục thế giới của cậu bắt đầu","Anime,Hành động,Hài hước,Giả tưởng,Shounen",8.7,80,1998,https://animehay.life/upload/poster/657.jpg
Kuroko no Basket 2,Kuroko No Basuke Ss2,Phần 2 của series Kuroko no Basket.,"Anime,Hài hước,Học đường,Shounen,Thể thao",9.2,354,2013,https://animehay.life/upload/poster/949.jpg
Kuroko no Basket NG-shuu,,Những màn troll của trong Kuroko no Basket.,"Anime,Hài hước,Học đường,Shounen,Thể thao",8.7,62,2012,https://animehay.life/upload/poster/952.jpg
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA",NouCome OVA | My Mental Choices Are Completely Interfering With My School Romantic Comedy OVA | My Mental Multiple-Choice Power Is Completely Ruining My School Romantic Comedy OVA | NouKome OVA,Tập OVA của NouCome.,"Anime,Hài hước,Học đường",9.1,101,2014,https://animehay.life/upload/poster/663.jpg
Jewelpet Tinkle,Jewelpet 2 | Jewelpet Twinkle Star,"Sakura Akari là một cô bé học lớp 6. Cô bé không tin vào bản thân mình nên đã không đủ can đảm để nói những lời từ tận đáy lòng mình.Ruby là một con thỏ từ Jewelland tới thế giới nơi Akari sống để tìm kiếm cộng sự của mình. Và tại đây Ruby đã gặp Akari và cùng nhau họ đã trở thành học viên của học viện phép thuật ở thế giới Jewelpets-Jewelland. Tại đây họ đã gặp Miria, Sara và Leon và những người khác. Tấm lòng của Akari đã lan tỏa đến Miria và Sara đã làm họ trở thành bạn bè của nhau. Ước mơ của Akari là trở thành họa sĩ truyện tranh và có can đảm để nói lời thật lòng mình với Yuuma-kun- cậu bé mà Akari thầm yêu .Và để làm những được những điều đó Akari đã quyết định kiếm đủ 12 viên Jewelstone để được tham gia giải Jewelstar Grand Prix để biến giấc mơ của mình trở thành sự thật.Hãy cùng xem chờ xem những chuyện gì sẽ xãy ra và liệu Akari có đạt được những gì mà mình mơ ước không nhé?","Anime,Học đường,Shoujo",8.3,62,2010,https://animehay.life/upload/poster/661.jpg
Kuroko no Basket 2 NG-shuu,,Những màn khó đỡ 2.,"Anime,Hài hước,Học đường,Shounen,Thể thao",8.6,58,2014,https://animehay.life/upload/poster/955.jpg
Kuroko no Basket 3 NG-shuu,Kuroko no Basket 3nd Season NG-shuu,9 Tập đặc biệt của Season 3 phim Kuroko,"Anime,Hài hước,Học đường,Shounen,Thể thao",8.9,72,2015,https://animehay.life/upload/poster/957.jpg
Zoku Sayonara Zetsubou Sensei,Sayonara Zetsubo Sensei 2 | Sayonara Zetsubo Sensei 2nd Season | Sayonara Zetsubou Sensei Dai Ni Ki | So Long Mr. Despair 2nd | ZSZS,"Chuyển thể từ manga cùng tên, là manga duy nhất không phải hentai mà harem ending (chắc thế), Koji Kumeta là sư phụ của Hata Kenjiro (Hayate) và Hata làm trợ lí song song với việc vẽ Hayate. Về anime, đây là cột mốc giúp Shaft vượt lên và là ý tưởng cho Shinbou đạo lại mỗi khi bí.","Anime,Hài hước,Học đường",7.9,14,2008,https://animehay.life/upload/poster/664.jpg
Date A Live IF Version [Drama CD],,Khuyến kích đeo tai nghe hoặc mở max volume Lưu ý: không nên xem ở những nơi đông người hoặc nơi đàn ông đang cho con bú (Bản Drama CD ),"Anime,Hài hước",9.4,406,2013,https://animehay.life/upload/poster/665.jpg
Date A Live OVA,Date A Live Episode 13 | Date to Date,Tập OVA của Date A Live.,"Anime,Tình cảm,Đời thường,Harem,Ecchi",9.6,480,2013,https://animehay.life/upload/poster/666.jpg
Date A Live: Encore OVA,Date A Live: Encore OVA [BD],Date A Live: Encore OVA,"Anime,Tình cảm,Hài hước",9.6,674,2014,https://animehay.life/upload/poster/667.jpg
Zan Sayonara Zetsubou Sensei,Zan Sayonara Zetsubo Sensei | Sayonara Zetsubou Sensei 3 | ZSZS [Bluray],"Chuyển thể từ manga cùng tên, là manga duy nhất không phải hentai mà harem ending (chắc thế), Koji Kumeta là sư phụ của Hata Kenjiro (Hayate) và Hata làm trợ lí song song với việc vẽ Hayate. Về anime, đây là cột mốc giúp Shaft vượt lên và là ý tưởng cho Shinbou đạo lại mỗi khi bí.","Anime,Hành động,Hài hước",7.3,16,2009,https://animehay.life/upload/poster/668.jpg
Higurashi no Naku Koro ni Kira OVA,,OVA nhân dịp mừng sinh nhật của Seri Higurashi.,"Anime,Kinh dị,Bí ẩn,Psychological",9.2,26,2011,https://animehay.life/upload/poster/628.jpg
Tamako Love Story,,Câu chuyện tình yêu của Tamako,"Anime,Tình cảm,Đời thường",9.5,296,2014,https://animehay.life/upload/poster/624.jpg
Sengoku Basara Movie: The Last Party the Movie,Sengoku Basara - Samurai Kings: The Movie,"Kể về diễn biến tiếp theo sau phần 2 serries Anime cùng tên, chủ yếu là về trận chiến cuối cùng tại Sekigahara để quyết định người dành quyền thống nhất Nhật Bản.","Anime,Hành động,Lịch sử,Siêu năng lực",7.8,13,2011,https://animehay.life/upload/poster/631.jpg
Higurashi No Naku Koro Ni Kai (Ss2),Higurashi No Naku Koro Ni Kai (Ss2) - Khi Ve Sầu Khóc Phần 2,"Hẳn các bạn vẫn chưa quên những số phận bi thương, những bí ẩn còn bỏ ngỏ ở Higurashi no Naku Koro ni. Phần tiếp theo này chính là lời giải đáp cho những trăn trở đó. Higurashi no Naku Koro ni Kai hứa hẹn nhiều bất ngờ, kịch tính cùng những bài học cảm động về tình bạn, ý chí chiến đấu sinh tồn…chắc chắn sẽ không làm bạn thất vọng.","Anime,Bí ẩn,Psychological",8.4,61,2007,https://animehay.life/upload/poster/630.jpg
Dragon Crisis!,,"Nội dung series xoay quanh nhân vật chính Ryuuji, bị em họEriko lôi kéo vào cuộc giải cứu 1 cô gái mắt xanh tên Rose từ phe chợđen. Cô gái này, vốn là 1 con rồng, trở nên quyến luyến với Ryuuji vàtheo cậu khắp mọi nơi, kể cả khi đi tắm hay lúc ngủ, và Ryuuji phải bảovệ cô với quyền năng của mình.","Anime,Hành động,Tình cảm,Học đường,Siêu nhiên,Shounen",8.8,207,2011,https://animehay.life/upload/poster/633.jpg
NHK ni Youkoso!,,"Nội dung phim xoay quanh nhân vật chính Satou Tatsuhiro 22 tuổi - một hikikomori đã ba năm (hikikomori là những người chỉ sống quanh quẩn trong phòng, không làm việc, không giao tiếp xã hội). Cuộc sống hiki của cậu tưởng chừng cứ nhàn nhã mà trôi đi bên trong căn phòng trọ bừa bộn cho đến một ngày, cậu gặp được cô gái kỳ lạ Nakahara Misaki - người tự nhận có thể chữa chứng hikikomori của cậu. Sau vài lần thuyết phục, Satou đã chấp nhận ký hợp đồng tham gia dự án của Misaki. Liệu người con gái thiên thần này có thể thay đổi số mệnh của Satou? Một điểm thú vị trong phim là ngoài vấn nạn hiki, người xem còn bắt gặp một số vấn đề nổi cộm trong xã hội Nhật Bản hiện đại như anime otaku, mọt game online, tự tử qua mạng... tất cả đều được các nhà làm phim khai thác một cách khá là hài hước nhưng cũng không kém phần ""con người"".","Anime,Tình cảm,Hài hước,Drama,Psychological",9.4,88,2006,https://animehay.life/upload/poster/634.jpg
Tales of Phantasia: The Animation,,"Anime dựa trên trò chơi cùng tên của Namco (nay là Bandai Namco)  Câu chuyện kể về Cless Alvein, một kiếm sĩ trẻ tuổi xuất thân từ thị trấn Totus, cùng với người bạn của mình là Mint Adnade, 1 pháp sư chữa thương , được số phận đưa đẩy bắt buộc phải trở về quá khứ để đối đầu với Dhaos, một phù thủy từng bị cha mẹ hai người phong ấn nhiều thập kỷ trước.  Với sự giúp đỡ của cung thủ Chester Barklight, pháp sư triệu hồi Klath F.Lester và Arche Klaine, một half-elf, họ cùng nhau chống lại Dhaos nhằm đem hòa bình trở lại cho vùng đất.","Anime,Giả tưởng,Phiêu lưu,Shounen",nan,9,2004,https://animehay.life/upload/poster/636.jpg
DokiDoki! Precure Movie: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress,,"Những thứ đôi khi hiện hữu khi ta còn nhỏ, nhưng theo thời gian trôi, những ký ức về chúng cứ thế mất dần đi. Và đến một lúc nào đó, chúng bị bỏ lại đằng sau dòng chảy thời gian mang theo đau đớn và nỗi buồn...","Anime,Shoujo",nan,9,2013,https://animehay.life/upload/poster/638.jpg
Ai Tenchi Muyo!,Tenchi Muyo! Love | Ai Tenchi Muyou!,Thầy giáo số nhọ bị bạo hành...,"Anime,Hài hước,Shounen",7.8,52,2014,https://animehay.life/upload/poster/637.jpg
Endride,,"Endride là original anime lấy bối cảnh ở thế giới nằm phía sau địa cầu “Endora”. Character design cho bộ anime này không ai khác hơn, chính là Hagiwara Kazushi (Bastard!!: Ankoku no Hakaishin) và Watsuki Nobuhiro (Rurouni Kenshin)! Asanaga Shun – chàng trai trẻ sống trên mặt đất, được tạo hình bởi Watsuki-sensei, và Emilio Langheim – chàng trai sống ở “Endora” phía bên trong địa cầu, thiết kế bởi Hagiwara-sensei. 1 tác phẩm anime đáng chú ý trong mùa thu này!","Anime,Giả tưởng,Phiêu lưu",4.5,44,2016,https://animehay.life/upload/poster/439.jpg
Happiness Charge PreCure! Movie: Ningyou no Kuni no Ballerina,,Tập Phim movie (chiếu rạp) của series Happiness Charge PreCure!,"Anime,Shoujo",nan,5,2014,https://animehay.life/upload/poster/639.jpg
